country,link,ESG-term,country_mapped,latitude,longitude
france,http://climatecasechart.com/non-us-case/patrick-pouyanne-ceo-of-totalenergies-v-greenpeace-france/,Business_Ethics,France,46.603354,1.8883335
switzerland,http://climatecasechart.com/non-us-case/klimaallianz-v-fifa/,Business_Ethics,Switzerland,46.7985624,8.2319736
australia,http://climatecasechart.com/non-us-case/eh-v-queensland-police-service-gs-v-queensland-police-service/,Critical_Incident_Risk_Management,Australia,-24.7761086,134.755
france,http://climatecasechart.com/non-us-case/friends-of-the-earth-et-al-v-total/,Human_Rights_And_Community_Relations,France,46.603354,1.8883335
united-kingdom,http://climatecasechart.com/non-us-case/heathrow-airport-ltd-another-v-joss-garman-others/,Physical_Impacts_Of_Climate_Change,United Kingdom,54.7023545,-3.2765753
japan,http://climatecasechart.com/non-us-case/sendai-citizens-v-sendai-power-station/,GHG_Emissions,Japan,36.5748441,139.2394179
australia,http://climatecasechart.com/non-us-case/australasian-centre-for-corporate-responsibility-v-santos/,GHG_Emissions,Australia,-24.7761086,134.755
indonesia,http://climatecasechart.com/non-us-case/minister-of-environment-v-pt-kalista-alam/,Ecological_Impacts,Indonesia,-2.4833826,117.8902853
germany,http://climatecasechart.com/non-us-case/kaiser-et-al-v-volkswagen-ag/,GHG_Emissions,Germany,51.1638175,10.4478313
slovenia,http://climatecasechart.com/non-us-case/credit-suisse-protesters-trial/,Physical_Impacts_Of_Climate_Change,Slovenia,46.1199444,14.8153333
china,http://climatecasechart.com/non-us-case/focsiv-and-others-v-fca-italy-stellantis-nv/,Human_Rights_And_Community_Relations,China,35.000074,104.999927
france,http://climatecasechart.com/non-us-case/clientearth-surfrider-foundation-europe-and-zero-waste-france-v-danone/,Waste_And_Hazardous_Materials_Management,France,46.603354,1.8883335
france,http://climatecasechart.com/non-us-case/state-v-delahalle-goinvic/,Physical_Impacts_Of_Climate_Change,France,46.603354,1.8883335
italy,http://climatecasechart.com/non-us-case/italian-competition-authority-ruling-enis-diesel-advertising-campaign/,Product_Design_And_Lifecycle_Management,Italy,42.6384261,12.674297
brazil,http://climatecasechart.com/non-us-case/sao-paulo-public-prosecutors-office-v-united-airlines/,Physical_Impacts_Of_Climate_Change,Brazil,-10.3333333,-53.2
germany,http://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-totalenergies-warmekraftstoff-deutschland-gmbh/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
germany,http://climatecasechart.com/non-us-case/regional-court-of-frankfurt-am-mains-decision-on-climate-neutral-claims-regarding-detergents/,GHG_Emissions,Germany,51.1638175,10.4478313
indonesia,http://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-jatim-jaya-perkasa/,Physical_Impacts_Of_Climate_Change,Indonesia,-2.4833826,117.8902853
united-kingdom,http://climatecasechart.com/non-us-case/new-weather-institute-v-fifa/,GHG_Emissions,United Kingdom,54.7023545,-3.2765753
australia,http://climatecasechart.com/non-us-case/australasian-centre-for-corporate-responsibility-accr-v-commonwealth-bank-of-australia/,GHG_Emissions,Australia,-24.7761086,134.755
indonesia,http://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-asia-palem-lestari/,Physical_Impacts_Of_Climate_Change,Indonesia,-2.4833826,117.8902853
brazil,http://climatecasechart.com/non-us-case/adi-6932-eletrobras-privatization/,GHG_Emissions,Brazil,-10.3333333,-53.2
united-kingdom,http://climatecasechart.com/non-us-case/clientearth-v-shells-board-of-directors/,Physical_Impacts_Of_Climate_Change,United Kingdom,54.7023545,-3.2765753
norway,http://climatecasechart.com/non-us-case/norwegian-climate-network-et-al-vs-statoil/,Physical_Impacts_Of_Climate_Change,Norway,61.1529386,8.7876653
brazil,http://climatecasechart.com/non-us-case/public-ministry-of-the-state-of-sao-paulo-v-klm/,GHG_Emissions,Brazil,-10.3333333,-53.2
spain,http://climatecasechart.com/non-us-case/spain-v-apostolos-mangouras-others-prestige-case/,Critical_Incident_Risk_Management,Spain,39.3260685,-4.8379791
germany,http://climatecasechart.com/non-us-case/higher-regional-court-frankfurt-am-main-on-carbon-neutral-hygiene-ii/,GHG_Emissions,Germany,51.1638175,10.4478313
france,http://climatecasechart.com/non-us-case/r-v-brewer-and-others-just-stop-oil-protest-esso-terminal-birmingham/,Management_Of_Legal_And_Regulatory_Framework,France,46.603354,1.8883335
china,http://climatecasechart.com/non-us-case/beijing-fengfujiuxin-marketing-and-technology-co-ltd-v-zhongyan-zhichuang-blockchain-co-ltd/,Management_Of_Legal_And_Regulatory_Framework,China,35.000074,104.999927
netherlands,http://climatecasechart.com/non-us-case/milieudefensie-et-al-v-royal-dutch-shell-plc/,Physical_Impacts_Of_Climate_Change,Netherlands,52.2434979,5.6343227
australia,http://climatecasechart.com/non-us-case/australian-conservation-foundation-incorporated-v-woodside-energy-ltd-anor/,GHG_Emissions,Australia,-24.7761086,134.755
italy,http://climatecasechart.com/non-us-case/rete-legalita-per-il-clima-legality-for-climate-network-and-others-v-eni/,GHG_Emissions,Italy,42.6384261,12.674297
australia,http://climatecasechart.com/non-us-case/youth-verdict-v-waratah-coal/,Human_Rights_And_Community_Relations,Australia,-24.7761086,134.755
germany,http://climatecasechart.com/non-us-case/regional-court-of-frankfurt-am-mains-decision-on-various-climate-neutral-claims/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
germany,http://climatecasechart.com/non-us-case/regional-court-of-oldenburgs-decision-on-climate-neutral-claims-regarding-meat-products/,Physical_Impacts_Of_Climate_Change,Germany,51.1638175,10.4478313
denmark,http://climatecasechart.com/non-us-case/italian-competition-authority-ruling-enis-diesel-advertising-campaign/,Product_Design_And_Lifecycle_Management,Denmark,55.670249,10.3333283
united-kingdom,http://climatecasechart.com/non-us-case/r-v-mckelvey-and-others-doctors-for-xr-protest-on-lambeth-bridge/,Critical_Incident_Risk_Management,United Kingdom,54.7023545,-3.2765753
brazil,http://climatecasechart.com/non-us-case/instituto-internacional-arayara-vs-ibama-and-others/,GHG_Emissions,Brazil,-10.3333333,-53.2
